Location_ID,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Area,Distance_KM,Distance_Category
1,22.745049,75.892471,22.765049,75.912471,Urban ,3.0251492856773803,Short
2,12.913041,77.683237,13.043041,77.813237,Metropolitian ,20.18352972873287,Long
3,12.914264,77.6784,12.924264,77.6884,Urban ,1.5527578022553539,Short
4,11.003669,76.976494,11.053669,77.026494,Metropolitian ,7.790401360105807,Medium
5,12.972793,80.249982,13.012793,80.289982,Metropolitian ,6.210137965623703,Medium
6,17.431668,78.408321,17.461668,78.438321,Urban ,4.610365144356333,Short
7,23.369746,85.33982,23.479746,85.44982,Metropolitian ,16.600361127913082,Long
8,12.352058,76.60665,12.482058,76.73665,Metropolitian ,20.20525323529313,Long
9,17.433809,78.386744,17.563809,78.516744,Metropolitian ,19.97552008622187,Long
10,30.327968,78.046106,30.397968,78.116106,Metropolitian ,10.280582064622465,Medium
11,10.003064,76.307589,10.043064,76.347589,Metropolitian ,6.242318682700942,Medium
12,18.56245,73.916619,18.65245,74.006619,Metropolitian ,13.787860239172238,Medium
13,30.899584,75.809346,30.919584,75.829346,Metropolitian ,2.930257800762021,Short
14,26.463504,80.372929,26.593504,80.502929,Metropolitian ,19.39661829066188,Long
15,19.176269,72.836721,19.266269,72.926721,Metropolitian ,13.763977224427299,Medium
16,12.311072,76.654878,12.351072,76.694878,Metropolitian ,6.218001190187312,Medium
17,18.592718,73.773572,18.702718,73.883572,Metropolitian ,16.849939918016943,Long
18,17.426228,78.407495,17.496228,78.477495,Metropolitian ,10.757108800258175,Medium
19,22.552672,88.352885,22.582672,88.382885,Urban ,4.540574388730574,Short
20,18.563934,73.915367,18.643935,73.995367,Metropolitian ,12.25607644546856,Medium
21,23.357804,85.325146,23.487804,85.455146,Metropolitian ,19.61873934880106,Long
22,11.003669,76.976494,11.013669,76.986494,Metropolitian ,1.5581322655562497,Short
23,12.986047,80.218114,13.116047,80.348114,Metropolitian ,20.18063511411397,Long
24,19.221315,72.862381,19.261315,72.902381,Metropolitian ,6.116971669681921,Medium
25,13.005801,80.250744,13.115801,80.360744,Metropolitian ,17.075594401072465,Long
