Delivery_Fact_ID,Agent_ID,Time_ID,Location_ID,Weather_ID,Vehicle_ID,Category_ID,Order_Time,Pickup_Time,Distance_KM,Pickup_Delay_Min,Delivery_Time,Speed_KM_H,Performance_Category,Coordinate_Flag
1,1,1,1,1,1,1,11:30:00,11:45:00,3.0251492856773803,15.0,120,1.5125746428386901,Normal,Valid
2,1,1,705,1,1,1,11:30:00,11:45:00,3.0251492856773803,15.0,120,1.5125746428386901,Normal,Valid
3,2,2,2,2,2,2,19:45:00,19:50:00,20.18352972873287,5.0,165,7.339465355902862,Slow,Valid
4,2,2,3736,2,2,2,19:45:00,19:50:00,20.18352972873287,5.0,165,7.339465355902862,Slow,Valid
5,3,1,3,3,3,3,08:30:00,08:45:00,1.5527578022553539,15.0,130,0.7166574471947786,Slow,Valid
6,3,1,6655,3,3,3,08:30:00,08:45:00,1.5527578022553539,15.0,130,0.7166574471947786,Slow,Valid
7,4,3,4,1,4,4,18:00:00,18:10:00,7.790401360105807,10.0,105,4.451657920060461,Normal,Valid
8,4,3,7172,1,4,4,18:00:00,18:10:00,7.790401360105807,10.0,105,4.451657920060461,Normal,Valid
9,5,4,5,4,5,5,13:30:00,13:45:00,6.210137965623703,15.0,150,2.4840551862494813,Slow,Valid
10,5,4,8119,4,5,5,13:30:00,13:45:00,6.210137965623703,15.0,150,2.4840551862494813,Slow,Valid
11,5,4,8218,4,5,5,13:30:00,13:45:00,6.210137965623703,15.0,150,2.4840551862494813,Slow,Valid
12,6,5,6,4,6,5,21:20:00,21:30:00,4.610365144356333,10.0,130,2.127860835856769,Slow,Valid
13,6,5,4044,4,6,5,21:20:00,21:30:00,4.610365144356333,10.0,130,2.127860835856769,Slow,Valid
14,6,5,5271,4,6,5,21:20:00,21:30:00,4.610365144356333,10.0,130,2.127860835856769,Slow,Valid
15,7,6,7,5,2,5,19:15:00,19:30:00,16.600361127913082,15.0,200,4.980108338373925,Very Slow,Valid
16,7,6,4705,5,2,5,19:15:00,19:30:00,16.600361127913082,15.0,200,4.980108338373925,Very Slow,Valid
17,8,7,8,4,4,6,17:25:00,17:30:00,20.20525323529313,5.0,160,7.576969963234925,Slow,Valid
18,8,7,6236,4,4,6,17:25:00,17:30:00,20.20525323529313,5.0,160,7.576969963234925,Slow,Valid
19,6,8,9,2,6,2,20:55:00,21:05:00,19.97552008622187,10.0,170,7.0501835598430125,Slow,Valid
20,6,8,6617,2,6,2,20:55:00,21:05:00,19.97552008622187,10.0,170,7.0501835598430125,Slow,Valid
21,9,9,10,5,6,5,21:55:00,22:10:00,10.280582064622465,15.0,230,2.6818909733797733,Very Slow,Valid
22,10,10,11,2,1,4,14:55:00,15:05:00,6.242318682700942,10.0,115,3.2568619214091874,Normal,Valid
23,10,10,7622,2,1,4,14:55:00,15:05:00,6.242318682700942,10.0,115,3.2568619214091874,Normal,Valid
24,11,6,12,3,7,7,17:30:00,17:40:00,13.787860239172238,10.0,105,7.878777279526992,Normal,Valid
25,11,6,4265,3,7,7,17:30:00,17:40:00,13.787860239172238,10.0,105,7.878777279526992,Normal,Valid
26,12,10,13,3,3,8,09:20:00,09:30:00,2.930257800762021,10.0,100,1.7581546804572126,Normal,Valid
27,13,11,14,5,2,9,19:50:00,20:05:00,19.39661829066188,15.0,205,5.677059011901038,Very Slow,Valid
28,14,12,15,3,8,10,20:25:00,20:35:00,13.763977224427299,10.0,100,8.258386334656379,Normal,Valid
29,14,12,6038,3,8,10,20:25:00,20:35:00,13.763977224427299,10.0,100,8.258386334656379,Normal,Valid
30,15,13,16,6,5,11,14:55:00,15:10:00,6.218001190187312,15.0,33,11.305456709431477,Fast,Valid
31,15,13,8466,6,5,11,14:55:00,15:10:00,6.218001190187312,15.0,33,11.305456709431477,Fast,Valid
32,16,14,17,3,6,4,20:30:00,20:40:00,16.849939918016943,10.0,200,5.054981975405083,Very Slow,Valid
33,16,14,5154,3,6,4,20:30:00,20:40:00,16.849939918016943,10.0,200,5.054981975405083,Very Slow,Valid
34,17,8,18,4,6,6,20:40:00,20:50:00,10.757108800258175,10.0,205,3.1484220878804416,Very Slow,Valid
35,17,8,2368,4,6,6,20:40:00,20:50:00,10.757108800258175,10.0,205,3.1484220878804416,Very Slow,Valid
36,10,15,19,6,6,9,21:15:00,21:30:00,4.540574388730574,15.0,75,3.632459510984459,Normal,Valid
37,10,15,1964,6,6,9,21:15:00,21:30:00,4.540574388730574,15.0,75,3.632459510984459,Normal,Valid
38,10,15,7350,6,6,9,21:15:00,21:30:00,4.540574388730574,15.0,75,3.632459510984459,Normal,Valid
39,18,14,20,3,6,5,20:20:00,20:25:00,12.25607644546856,5.0,180,4.085358815156187,Slow,Valid
40,18,14,4551,3,6,5,20:20:00,20:25:00,12.25607644546856,5.0,180,4.085358815156187,Slow,Valid
41,18,14,4657,3,6,5,20:20:00,20:25:00,12.25607644546856,5.0,180,4.085358815156187,Slow,Valid
42,19,16,21,3,9,12,22:30:00,22:45:00,19.61873934880106,15.0,130,9.05480277636972,Slow,Valid
43,19,16,1721,3,9,12,22:30:00,22:45:00,19.61873934880106,15.0,130,9.05480277636972,Slow,Valid
44,20,5,22,3,3,1,08:15:00,08:30:00,1.5581322655562497,15.0,100,0.9348793593337498,Normal,Valid
45,20,5,4474,3,3,1,08:15:00,08:30:00,1.5581322655562497,15.0,100,0.9348793593337498,Normal,Valid
46,21,17,23,6,2,6,19:30:00,19:45:00,20.18063511411397,15.0,195,6.209426188958145,Very Slow,Valid
47,21,17,4608,6,2,6,19:30:00,19:45:00,20.18063511411397,15.0,195,6.209426188958145,Very Slow,Valid
48,22,4,24,4,1,9,12:25:00,12:30:00,6.116971669681921,5.0,170,2.1589311775347957,Slow,Valid
49,22,4,6018,4,1,9,12:25:00,12:30:00,6.116971669681921,5.0,170,2.1589311775347957,Slow,Valid
50,14,17,25,1,10,10,18:35:00,18:50:00,17.075594401072465,15.0,75,13.660475520857972,Normal,Valid
51,14,17,256,1,10,10,18:35:00,18:50:00,17.075594401072465,15.0,75,13.660475520857972,Normal,Valid
52,14,17,8756,1,10,10,18:35:00,18:50:00,17.075594401072465,15.0,75,13.660475520857972,Normal,Valid
53,23,3,26,2,6,4,20:35:00,20:40:00,4.47028648943395,5.0,90,2.9801909929559667,Normal,Valid
54,23,3,876,2,6,4,20:35:00,20:40:00,4.47028648943395,5.0,90,2.9801909929559667,Normal,Valid
55,24,18,27,4,11,2,23:20:00,23:30:00,13.682044526080338,10.0,190,4.320645639814844,Very Slow,Valid
56,24,18,8250,4,11,2,23:20:00,23:30:00,13.682044526080338,10.0,190,4.320645639814844,Very Slow,Valid
57,25,14,28,6,6,4,21:20:00,21:35:00,13.97318265391717,15.0,235,3.567621103127788,Very Slow,Valid
58,25,14,4395,6,6,4,21:20:00,21:35:00,13.97318265391717,15.0,235,3.567621103127788,Very Slow,Valid
59,25,14,6806,6,6,4,21:20:00,21:35:00,13.97318265391717,15.0,235,3.567621103127788,Very Slow,Valid
60,26,12,29,6,9,9,23:35:00,23:45:00,16.85361872985407,10.0,60,16.85361872985407,Fast,Valid
61,26,12,414,6,9,9,23:35:00,23:45:00,16.85361872985407,10.0,60,16.85361872985407,Fast,Valid
62,27,19,30,3,3,9,22:35:00,22:50:00,4.674172124263596,15.0,130,2.157310211198583,Slow,Valid
63,27,19,3027,3,3,9,22:35:00,22:50:00,4.674172124263596,15.0,130,2.157310211198583,Slow,Valid
64,28,20,31,2,3,4,22:35:00,22:40:00,7.601616771071131,5.0,110,4.1463364205842534,Normal,Valid
